Frequency, Vpp 1, Vpp 2, Phase, Ratio, Slope
11.48951,2.066666667,0.09485,77.08695652,-26.76466199,0.536942278
12.31550603,2.07,0.097775,108.047619,-26.51485042,0.302436773
13.20088401,2.07,0.098966667,106.5,-26.40962805,0.11884457
14.14991297,2.055,0.101166667,102.6,-26.15548771,0.267789868
15.16716888,2.066666667,0.106666667,102.6190476,-25.74483422,0.403687492
16.25755666,2.07,0.11,99,-25.49155321,0.232285268
17.42633386,2.07,0.1135,97.2173913,-25.21948968,0.232776211
18.67913599,2.065,0.121166667,96.33333333,-24.63073791,0.46994793
20.02200372,2.058333333,0.123,94.5,-24.47221192,0.118050342
21.46141198,2.065,0.129,95.11111111,-24.08660691,0.267891336
23.0043012,2.066666667,0.13175,86.73076923,-23.91039622,0.114208262
24.65811076,2.058333333,0.132,93.18181818,-23.85883552,0.031176926
26.43081487,2.045,0.1436,89.69230769,-23.07077745,0.444551387
28.33096102,2.071666667,0.15175,93.4,-22.70382357,0.193118766
30.36771118,2.066666667,0.16175,87.5,-22.12852291,0.282460103
32.550886,2.08,0.1618,94.8,-22.18169635,-0.024356018
34.89101213,2.061666667,0.170666667,83.33333333,-21.64139486,0.230885629
37.39937302,2.063333333,0.182,88.10526316,-21.08996013,0.219838675
40.08806329,2.06,0.1862,91.75,-20.87775087,0.078926626
42.97004704,2.06,0.197,78.5,-20.38801988,0.169928435
46.05922041,2.07,0.203666667,84.5,-20.1410078,0.079960577
49.37047853,2.06,0.208,77.6,-19.91607771,0.067928891
52.91978736,2.06,0.2154,84.75,-19.61243043,0.085551101
56.72426068,2.063333333,0.2376,81.25,-18.77445916,0.220259467
60.80224262,2.063333333,0.25175,82.2,-18.2719983,0.123213115
65.17339605,2.053333333,0.2664,78.75,-17.73850474,0.122048693
69.85879747,2.06,0.282333333,74.6,-17.2621013,0.101678256
74.88103858,2.075,0.294,80.5,-16.97341541,0.057481486
80.26433522,2.063333333,0.3162,79,-16.29215057,0.126551606
86.03464417,2.056666667,0.33,77.2,-15.89299939,0.069173278
92.21978823,2.0675,0.3498,75.2,-15.43251426,0.074450186
98.84959047,2.058,0.3626,74,-15.08035141,0.053118153
105.9560179,2.06,0.3832,70.33333333,-14.6088344,0.066350781
113.5733358,2.06,0.4075,71.16666667,-14.07479215,0.070108962
121.7382728,2.058333333,0.4345,69.75,-13.51051853,0.069109366
130.4901978,2.068333333,0.4524,68,-13.2019587,0.035256224
139.8713103,2.056666667,0.48,66,-12.63845344,0.060068063
149.9268433,2.053333333,0.513333333,65.75,-12.04119983,0.05939552
160.7052818,2.066666667,0.528,64.25,-11.85273024,0.017485796
172.2585965,2.063333333,0.557833333,62,-11.36129865,0.042535983
184.6424943,2.065,0.585,60.5,-10.9552838,0.032785707
197.9166868,2.056666667,0.611666667,58,-10.53298191,0.031813754
212.1451785,2.063333333,0.6436,57,-10.11906718,0.029090556
227.3965752,2.07,0.66575,54,-9.853183407,0.017433405
243.744415,2.058333333,0.690666667,52.5,-9.484944217,0.022525251
261.2675226,2.066666667,0.727,51,-9.074720478,0.023410445
280.0503894,2.06,0.751666667,49.6,-8.756838577,0.016924035
300.1835814,2.06,0.7805,48,-8.429886259,0.016239468
321.764175,2.063333333,0.806,44.75,-8.16468705,0.012288782
344.896226,2.06,0.83,42.75,-7.89578256,0.011624758
369.6912707,2.065,0.8608,41,-7.600355953,0.011914744
396.2688639,2.056666667,0.881666667,38.5,-7.357189753,0.009149293
424.7571553,2.061666667,0.905,37.66666667,-7.151397401,0.007223752
455.2935075,2.056666667,0.919,35.4,-6.996967959,0.005057233
488.0251584,2.06,0.952,34.5,-6.70460544,0.008932104
523.1099308,2.066666667,0.97,31.6,-6.56997401,0.003837318
560.7169938,2.053333333,0.986166667,29,-6.370182771,0.005312599
601.0276782,2.065,1.01,27.4,-6.211973644,0.003924744
644.2363509,2.053333333,1.024,26,-6.043190016,0.003906244
690.551352,2.06,1.034,25.33333333,-5.986933632,0.001214647
740.1959997,2.055,1.046166667,24,-5.864218959,0.002471861
793.4096666,2.055,1.061666667,22.5,-5.736472885,0.002400625
850.4489342,2.065,1.064,21,-5.759568561,-0.000404908
911.58883,2.054,1.074,18.25,-5.631923158,0.00208776
977.1241535,2.058333333,1.095,18.5,-5.482031761,0.002287185
1047.370898,2.055,1.105,16.16666667,-5.388990964,0.001324486
1122.667774,2.0675,1.1,15.66666667,-5.481056661,-0.001222703
1203.377841,2.063333333,1.113333333,15,-5.358883644,0.001513727
1289.890261,2.058333333,1.12,14,-5.285953691,0.000843
1382.622174,2.045,1.1225,12.5,-5.210139253,0.000817566
1482.020706,2.05,1.12,12,-5.250716768,-0.000408231
1588.565129,2.055,1.135,11.30769231,-5.156319294,0.000885992
1702.769172,2.055,1.135,10.5,-5.156319294,0
1825.183494,2.055,1.143333333,10,-5.092779218,0.000519058
1956.398344,2.053333333,1.14,9,-5.111092122,-0.000139564
2097.046401,2.055,1.14,9,-5.118139498,-5.01E-05
2247.805834,2.05,1.1425,8.222222222,-5.077953046,0.00026656
2409.40356,2.05,1.148333333,8.117647059,-5.033717791,0.000273737
2582.618761,2.05,1.148,6.035714286,-5.03623946,-1.46E-05
2768.28663,2.043333333,1.1425,6.85,-5.049660221,-7.23E-05
2967.302408,2.046666667,1.15,4.714285714,-5.006985521,0.000214429
3180.625693,2.056666667,1.156666667,4.666666667,-4.999113785,3.69E-05
3409.28507,2.06,1.155,3.884615385,-5.025704723,-0.000116291
3654.383071,2.048333333,1.155,3.846153846,-4.976372965,0.000201274
3917.101491,2.053333333,1.166,3.615384615,-4.91521814,0.000232777
4198.707084,2.05,1.155,2.821428571,-4.983437537,-0.000242252
4500.557676,2.055,1.156666667,2.785714286,-4.992072123,-2.86E-05
4824.108704,2.046666667,1.151666667,2.827586207,-4.994406389,-7.21E-06
5170.920243,2.045,1.16,2,-4.924706462,0.000200973
5542.664521,2.036666667,1.153333333,1.903225806,-4.939302229,-3.93E-05
5941.133985,2.055,1.16,1.866666667,-4.96707674,-6.97E-05
6368.249945,2.048333333,1.16,1.612903226,-4.938852866,6.61E-05
6826.071834,2.041666667,1.16,1.258064516,-4.910536982,6.18E-05
7316.807143,2.05,1.153333333,1.266666667,-4.99598034,-0.000174113
7842.822061,2.046666667,1.161666667,0.965517241,-4.919311774,0.000145754
8406.652886,2.045,1.166,1.071428571,-4.879895238,6.99E-05
9011.018252,2.046666667,1.16,0.967741935,-4.931782544,-8.59E-05
9658.832241,2.036666667,1.16,0.2,-4.889239326,6.57E-05
10353.21843,2.043333333,1.163333333,0.818181818,-4.892700951,-4.99E-06
11097.52496,2.04,1.155,-0.25,-4.940963664,-6.48E-05
11895.34067,2.043333333,1.153333333,0,-4.967687515,-3.35E-05
12750.51241,2.04,1.16,0.172413793,-4.903443564,7.51E-05
13667.16356,2.03,1.156,0,-4.890764077,1.38E-05
14649.71398,2.04,1.15,0.133333333,-4.978646541,-8.94E-05
15702.90125,2.036666667,1.1675,-0.192307692,-4.833261326,0.000138043
16831.80353,2.04,1.1525,-0.133333333,-4.959784667,-0.000112076
18041.86409,2.04,1.16,-0.75,-4.903443564,4.66E-05
19338.9175,2.043333333,1.151666667,-0.096774194,-4.980248456,-5.92E-05
20729.2178,2.036666667,1.156,-1,-4.919242429,4.39E-05
22219.46861,2.048333333,1.155,-0.225806452,-4.976372965,-3.83E-05
23816.85552,2.036666667,1.16,-0.827586207,-4.889239326,5.45E-05
25529.08068,2.05,1.155,-0.64516129,-4.983437537,-5.50E-05
27364.39997,2.046666667,1.15,-0.366666667,-5.006985521,-1.28E-05
29331.66278,2.04,1.154,-0.433333333,-4.948487172,2.97E-05
31440.35472,2.03,1.16,-0.962962963,-4.860760974,4.16E-05
33700.64329,2.043333333,1.155,0,-4.955144711,-4.18E-05
36123.427,2.03,1.16,-1.225806452,-4.860760974,3.90E-05
38720.38782,2.043333333,1.165,-0.935483871,-4.880265889,-7.51E-06
41504.04758,2.05,1.16,-1.033333333,-4.945917437,-2.36E-05
44487.82831,2.043333333,1.163333333,-1,-4.892700951,1.78E-05
47686.11698,2.05,1.156666667,-1.166666667,-4.97091282,-2.45E-05
51114.33483,2.04,1.16,-0.870967742,-4.903443564,1.97E-05
54789.0118,2.05,1.158333333,-1.133333333,-4.958406137,-1.50E-05
58727.86613,2.043333333,1.158333333,-1.129032258,-4.930113312,7.18E-06
62949.8899,2.04,1.163333333,-1.35483871,-4.878519904,1.22E-05
67475.44053,2.04,1.16,-1.333333333,-4.903443564,-5.51E-06
72326.33896,2.033333333,1.158,-1.35483871,-4.890000418,2.77E-06
77525.97489,2.043333333,1.156666667,-1.714285714,-4.942619995,-1.01E-05
83099.41949,2.033333333,1.158333333,-1.466666667,-4.887500522,9.89E-06
89073.54639,2.046666667,1.158333333,-1.366666667,-4.944271244,-9.50E-06
95477.16114,2.04,1.156666667,-1.866666667,-4.928438947,2.47E-06
102341.1402,2.043333333,1.158333333,-1.233333333,-4.930113312,-2.44E-07
109698.5798,2.04,1.16,-1.655172414,-4.903443564,3.62E-06
117584.9554,2.05,1.16,-1.266666667,-4.945917437,-5.39E-06
126038.293,2.046666667,1.154,-1.285714286,-4.976826152,-3.66E-06
135099.3521,2.053333333,1.158333333,-1.233333333,-4.972518065,4.75E-07
144811.8228,2.043333333,1.16,-1.035714286,-4.917624611,5.65E-06
155222.5357,2.046666667,1.16,-1.689655172,-4.931782544,-1.36E-06
166381.6886,2.05,1.16,-1.774193548,-4.945917437,-1.27E-06
178343.0877,2.043333333,1.16,-1.724137931,-4.917624611,2.37E-06
191164.4075,2.05,1.163333333,-1.838709677,-4.920993776,-2.63E-07
204907.469,2.048333333,1.16,-1.933333333,-4.938852866,-1.30E-06
219638.5372,2.048333333,1.156666667,-1.655172414,-4.963848249,-1.70E-06
235428.6414,2.043333333,1.153333333,-1.677419355,-4.967687515,-2.43E-07
252353.917,2.05,1.154,-1.933333333,-4.990961045,-1.38E-06
270495.973,2.04,1.16,-1.838709677,-4.903443564,4.82E-06
289942.2854,2.043333333,1.153333333,-1.733333333,-4.967687515,-3.30E-06
310786.6188,2.05,1.155,-2,-4.983437537,-7.56E-07
333129.4788,2.046666667,1.155,-1.967741935,-4.969302644,6.33E-07
357078.5965,2.05,1.153333333,-2.133333333,-4.99598034,-1.11E-06
382749.4479,2.05,1.15,-1.903225806,-5.021120414,-9.79E-07
410265.8106,2.046666667,1.15,-2.322580645,-5.006985521,5.14E-07
439760.3609,2.05,1.148333333,-2.366666667,-5.033717791,-9.06E-07
471375.3134,2.046666667,1.144,-2.206896552,-5.052421839,-5.92E-07
505263.1065,2.036666667,1.15,-2.233333333,-4.964442303,2.60E-06
541587.1378,2.0475,1.146666667,-2.9,-5.035734452,-1.96E-06
580522.5516,2.036666667,1.145,-2.933333333,-5.002289377,8.59E-07
622257.0837,2.046666667,1.14,-3,-5.082845302,-1.93E-06
666991.9663,2.04,1.138333333,-3.074074074,-5.067214283,3.49E-07
714942.8987,2.036666667,1.135,-3.266666667,-5.07848188,-2.35E-07
766341.0868,2.021666667,1.135,-3.806451613,-5.014273779,1.25E-06
821434.3585,2.03,1.133333333,-3.433333333,-5.062767512,-8.80E-07
880488.3582,2.028333333,1.13,-3.827586207,-5.081217687,-3.12E-07
943787.8278,2.025,1.13,-4.230769231,-5.066931681,2.26E-07
1011637.98,2.013333333,1.12,-4.269230769,-5.093953225,-3.98E-07
1084365.969,2.02,1.125,-4.714285714,-5.08397694,1.37E-07
1162322.469,2.011666667,1.12,-4.36,-5.086759941,-3.57E-08
1245883.364,2.016666667,1.115,-4.92,-5.147185051,-7.23E-07
1335451.563,2.008333333,1.11,-5.172413793,-5.150256355,-3.43E-08
1431458.938,2,1.101666667,-5.857142857,-5.179595731,-3.06E-07
1534368.409,2,1.1,-7,-5.19274621,-1.28E-07
1644676.178,1.988333333,1.095,-5.95,-5.181501482,1.02E-07
1762914.118,1.983333333,1.085,-8.235294118,-5.239319456,-4.89E-07
1889652.34,1.97,1.08,-8.291666667,-5.220849413,1.46E-07
2025501.939,1.966666667,1.066666667,-8.75,-5.314040666,-6.86E-07
2171117.946,1.95,1.0655,-9.4,-5.249623146,4.42E-07
2327202.479,1.93,1.051166667,-9.666666667,-5.277714568,-1.80E-07
2494508.135,1.918,1.042166667,-10,-5.298228491,-1.23E-07
2673841.616,1.903333333,1.023166667,-10.75,-5.391369411,-5.19E-07
2866067.617,1.885,1.01,-11.6,-5.419799615,-1.48E-07
3072112.999,1.86,0.991,-12,-5.468785795,-2.38E-07
3292971.255,1.84,0.972,-12.5,-5.543031162,-3.36E-07
3529707.303,1.81,0.958,-13.2,-5.526261316,7.08E-08
3783462.617,1.783333333,0.933333333,-13.5,-5.623915014,-3.85E-07
4055460.736,1.756666667,0.91,-14.4,-5.712959363,-3.27E-07
4347013.158,1.733333333,0.883,-14.8,-5.858427707,-4.99E-07
4659525.669,1.685,0.859833333,-15,-5.843712554,4.71E-08
4994505.116,1.65,0.831,-16.5,-5.957658409,-3.40E-07
5353566.677,1.6,0.8045,-16.2,-5.971878684,-3.96E-08
5738441.648,1.568333333,0.773,-17.25,-6.145177583,-4.50E-07
6150985.789,1.506666667,0.741833333,-21,-6.154216724,-2.19E-08
6593188.271,1.463333333,0.711333333,-19.5,-6.265402103,-2.51E-07
7067181.274,1.413333333,0.67625,-22.33333333,-6.402746475,-2.90E-07
7575250.259,1.353333333,0.6436,-21.16666667,-6.455774869,-1.04E-07
8119844.993,1.296666667,0.611666667,-24,-6.526270655,-1.29E-07
8703591.361,1.255,0.5775,-25.75,-6.741834745,-3.69E-07
9329304.026,1.205,0.550333333,-25.5,-6.807224567,-1.05E-07
10000000,1.15,0.521333333,-27.2,-6.871646927,-9.61E-08
